<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.04.07	14:13:00	3040.49	3042.24	3039.73	3040.49	96	0	9
2025.04.07	14:14:00	3040.48	3040.97	3039.70	3040.23	87	0	17
2025.04.07	14:15:00	3040.27	3041.59	3039.88	3041.23	95	0	17
2025.04.07	14:16:00	3041.24	3041.50	3039.33	3039.69	80	0	17
2025.04.07	14:17:00	3039.78	3040.00	3038.92	3039.98	60	0	17
2025.04.07	14:18:00	3040.06	3042.31	3039.90	3041.55	84	0	17
2025.04.07	14:19:00	3041.22	3041.88	3040.17	3041.38	66	0	17
2025.04.07	14:20:00	3041.20	3044.19	3041.15	3041.15	105	0	17
2025.04.07	14:21:00	3041.18	3041.74	3038.75	3038.81	99	0	17
2025.04.07	14:22:00	3038.78	3040.13	3038.76	3040.12	77	0	17
2025.04.07	14:23:00	3039.81	3043.42	3039.81	3043.41	94	0	17
2025.04.07	14:24:00	3043.38	3043.63	3041.81	3043.24	95	0	17
2025.04.07	14:25:00	3043.02	3043.37	3040.83	3041.73	102	0	27
2025.04.07	14:26:00	3041.66	3042.89	3041.42	3041.97	108	0	17
2025.04.07	14:27:00	3042.05	3042.90	3039.83	3040.19	107	0	17
2025.04.07	14:28:00	3040.13	3041.64	3039.37	3040.96	104	0	15
2025.04.07	14:29:00	3040.93	3041.01	3039.32	3039.94	86	0	17
2025.04.07	14:30:00	3040.09	3040.76	3039.70	3040.03	95	0	17
2025.04.07	14:31:00	3040.06	3041.98	3038.78	3041.85	101	0	17
2025.04.07	14:32:00	3041.76	3042.13	3039.85	3040.57	103	0	17
2025.04.07	14:33:00	3040.77	3040.84	3038.99	3040.72	102	0	17
2025.04.07	14:34:00	3040.86	3041.02	3039.53	3040.67	94	0	17
2025.04.07	14:35:00	3040.63	3042.98	3040.52	3042.59	103	0	18
2025.04.07	14:36:00	3042.88	3045.98	3042.86	3045.93	96	0	17
2025.04.07	14:37:00	3045.83	3045.83	3043.45	3043.54	100	0	17
2025.04.07	14:38:00	3043.58	3044.04	3041.18	3041.18	98	0	17
2025.04.07	14:39:00	3041.14	3042.03	3039.73	3041.28	103	0	17
2025.04.07	14:40:00	3041.29	3043.88	3040.33	3043.72	107	0	17
2025.04.07	14:41:00	3043.70	3044.76	3040.99	3040.99	114	0	17
2025.04.07	14:42:00	3041.22	3041.57	3039.83	3039.83	100	0	18
2025.04.07	14:43:00	3039.83	3040.21	3039.16	3039.42	85	0	17
2025.04.07	14:44:00	3039.50	3040.97	3039.14	3039.31	83	0	17
2025.04.07	14:45:00	3039.46	3040.12	3039.01	3039.53	81	0	17
2025.04.07	14:46:00	3039.60	3040.24	3038.05	3038.20	98	0	17
2025.04.07	14:47:00	3038.04	3038.16	3036.40	3036.64	96	0	17
2025.04.07	14:48:00	3036.64	3038.43	3035.38	3037.60	93	0	17
2025.04.07	14:49:00	3037.55	3038.83	3036.77	3038.65	89	0	17
2025.04.07	14:50:00	3038.71	3039.72	3037.34	3039.57	82	0	9
2025.04.07	14:51:00	3039.50	3039.50	3037.48	3037.82	77	0	17
2025.04.07	14:52:00	3037.82	3037.84	3035.02	3036.17	97	0	17
2025.04.07	14:53:00	3036.30	3036.34	3034.66	3036.08	103	0	17
2025.04.07	14:54:00	3036.19	3037.26	3034.97	3035.87	92	0	17
2025.04.07	14:55:00	3036.41	3036.65	3035.25	3035.34	92	0	17
2025.04.07	14:56:00	3035.35	3035.35	3032.69	3032.70	97	0	17
2025.04.07	14:57:00	3032.49	3033.77	3032.09	3032.58	94	0	17
2025.04.07	14:58:00	3032.41	3034.14	3031.68	3032.00	89	0	17
2025.04.07	14:59:00	3031.84	3031.93	3030.28	3031.19	74	0	17
2025.04.07	15:00:00	3031.43	3031.48	3028.13	3028.56	101	0	17
2025.04.07	15:01:00	3028.56	3029.76	3027.35	3027.35	99	0	17
2025.04.07	15:02:00	3027.35	3030.80	3027.03	3030.28	105	0	17
2025.04.07	15:03:00	3030.45	3030.84	3028.38	3028.55	100	0	17
2025.04.07	15:04:00	3028.58	3028.61	3026.91	3027.51	98	0	17
2025.04.07	15:05:00	3027.49	3028.47	3026.21	3027.57	104	0	16
2025.04.07	15:06:00	3027.44	3027.44	3025.67	3027.31	99	0	17
