Date,Open,High,Low,Close,Change(Pips),Change(%),
03/17/2025 22:21,3000.44,3000.55,3000.33,3000.44,0,0.00,
03/17/2025 22:20,3000.05,3000.6,3000.05,3000.49,44,0.01,
03/17/2025 22:19,3000.17,3000.25,2999.9,3000.14,-3,0.00,
03/17/2025 22:18,3000.09,3000.16,3000,3000.16,7,0.00,
03/17/2025 22:17,2999.94,3000.13,2999.94,2999.94,0,0.00,
03/17/2025 22:16,3000.35,3000.41,2999.94,2999.94,-41,-0.01,
03/17/2025 22:15,3000.37,3000.47,3000.28,3000.35,-2,0.00,
03/17/2025 22:14,3000.34,3000.48,3000.28,3000.37,3,0.00,
03/17/2025 22:13,3000.57,3000.57,3000.16,3000.26,-31,-0.01,
03/17/2025 22:12,3000.37,3000.71,3000.37,3000.6,23,0.01,
03/17/2025 22:11,3000.81,3000.81,3000.26,3000.42,-39,-0.01,
03/17/2025 22:10,3000.88,3000.95,3000.81,3000.81,-7,0.00,
03/17/2025 22:09,3000.81,3000.94,3000.8,3000.83,2,0.00,
03/17/2025 22:08,3000.75,3000.81,3000.75,3000.81,6,0.00,
03/17/2025 22:07,3000.81,3000.9,3000.77,3000.77,-4,0.00,
03/17/2025 22:06,3000.91,3000.98,3000.81,3000.81,-10,0.00,
03/17/2025 22:05,3001.07,3001.07,3000.66,3000.86,-21,-0.01,
03/17/2025 22:04,3001.23,3001.27,3001.03,3001.11,-12,0.00,
03/17/2025 22:03,3001.55,3001.55,3001.09,3001.18,-37,-0.01,
03/17/2025 22:02,3001.55,3001.55,3001.24,3001.53,-2,0.00,
03/17/2025 22:01,3001.38,3001.85,3001.38,3001.55,17,0.01,
03/17/2025 20:58,3001.19,3001.24,3000.67,3000.77,-42,-0.01,
03/17/2025 20:57,3001.01,3001.27,3000.97,3001.23,22,0.01,
03/17/2025 20:56,3000.88,3001.12,3000.88,3001.07,19,0.01,
03/17/2025 20:55,3001,3001.07,3000.78,3000.84,-16,-0.01,
03/17/2025 20:54,3000.81,3001.31,3000.7,3000.99,18,0.01,
03/17/2025 20:53,3000.94,3001.11,3000.81,3000.81,-13,0.00,
03/17/2025 20:52,3001.06,3001.18,3000.87,3001,-6,0.00,
03/17/2025 20:51,3001.1,3001.53,3000.99,3001.15,5,0.00,
03/17/2025 20:50,3001.33,3001.43,3000.95,3001.09,-24,-0.01,
03/17/2025 20:49,3001.45,3001.46,3001.2,3001.35,-10,0.00,
03/17/2025 20:48,3001.27,3001.52,3001.1,3001.51,24,0.01,
03/17/2025 20:47,3001.48,3001.64,3001.22,3001.37,-11,0.00,
03/17/2025 20:46,3001.37,3001.88,3001.36,3001.44,7,0.00,
03/17/2025 20:45,3001.29,3001.44,3001.21,3001.39,10,0.00,
03/17/2025 20:44,3001.45,3001.52,3001.21,3001.25,-20,-0.01,
03/17/2025 20:43,3001.45,3001.51,3001.38,3001.51,6,0.00,
03/17/2025 20:42,3001.53,3001.54,3001.32,3001.46,-7,0.00,
03/17/2025 20:41,3001.32,3001.61,3001.12,3001.54,22,0.01,
03/17/2025 20:40,3001.24,3001.33,3000.99,3001.33,9,0.00,
03/17/2025 20:39,3001.33,3001.43,3001.17,3001.24,-9,0.00,
03/17/2025 20:38,3001.12,3001.33,3000.92,3001.33,21,0.01,
03/17/2025 20:37,3001.09,3001.2,3000.92,3001.15,6,0.00,
03/17/2025 20:36,3001.04,3001.2,3000.98,3001.09,5,0.00,
03/17/2025 20:35,3000.97,3001.1,3000.92,3001.02,5,0.00,
03/17/2025 20:34,3001.18,3001.28,3001.02,3001.02,-16,-0.01,
03/17/2025 20:33,3001.19,3001.24,3001.16,3001.16,-3,0.00,
03/17/2025 20:32,3001.25,3001.3,3001.14,3001.29,4,0.00,
03/17/2025 20:31,3001.12,3001.28,3001.12,3001.23,11,0.00,
03/17/2025 20:30,3001.17,3001.29,3001.15,3001.19,2,0.00,
03/17/2025 20:29,3001.17,3001.25,3001.02,3001.19,2,0.00,
03/17/2025 20:28,3000.94,3001.14,3000.88,3001.14,20,0.01,
03/17/2025 20:27,3000.81,3000.95,3000.81,3000.93,12,0.00,
03/17/2025 20:26,3000.92,3000.99,3000.8,3000.82,-10,0.00,
03/17/2025 20:25,3000.66,3001.01,3000.54,3000.91,25,0.01,
